target,setsize,location,dyn,resp,rt,sub,exp,correct
Present,12,3,Dynamic,1,0.580772328964485,1,4,1
Absent,16,4,Dynamic,2,1.40091200236566,1,4,1
Present,16,2,Dynamic,1,1.37090500758495,1,4,1
Absent,16,2,Dynamic,2,0.720755608722357,1,4,1
Absent,12,2,Dynamic,2,1.00083398949391,1,4,1
Present,8,3,Dynamic,1,1.2108627902935,1,4,1
Present,8,3,Dynamic,1,1.09088662594513,1,4,1
Absent,8,3,Dynamic,1,0.720806738821011,1,4,0
Present,8,4,Dynamic,1,0.550748615612974,1,4,1
Absent,8,2,Dynamic,2,0.590784545521274,1,4,1
Absent,16,4,Dynamic,2,0.93086274351208,1,4,1
Absent,12,3,Dynamic,2,1.63091395781612,1,4,1
Present,16,1,Dynamic,1,0.940842628298014,1,4,1
Present,8,1,Dynamic,2,0.730817674911123,1,4,0
Present,16,2,Dynamic,1,1.37086996919061,1,4,1
Absent,12,3,Dynamic,2,1.08084442870222,1,4,1
Present,8,2,Dynamic,1,0.510722986573455,1,4,1
Present,8,2,Dynamic,1,0.570808044348269,1,4,1
Absent,16,1,Dynamic,2,0.990816151851504,1,4,1
Absent,12,4,Dynamic,2,0.840866820821248,1,4,1
Absent,16,1,Static,2,1.12083248080307,1,4,1
Present,16,4,Static,1,0.550784658798875,1,4,1
Absent,12,1,Static,2,0.590771014749407,1,4,1
Present,8,3,Static,1,0.590839429804873,1,4,1
Absent,16,1,Static,2,0.90085229795568,1,4,1
Present,8,4,Static,1,0.580822288532545,1,4,1
Present,12,3,Static,1,0.59077999906458,1,4,1
Present,16,1,Static,1,0.67079383892542,1,4,1
Present,12,4,Static,1,0.480761701295705,1,4,1
Absent,16,2,Static,2,1.02083966437931,1,4,1
Present,16,4,Static,1,0.670785180408529,1,4,1
Present,12,1,Static,1,0.690822720589495,1,4,1
Present,16,2,Static,1,0.510746742028459,1,4,1
Absent,12,4,Static,2,1.01083425948855,1,4,1
Present,16,2,Static,1,0.530780079595388,1,4,1
Absent,16,4,Static,2,0.740807629333176,1,4,1
Absent,16,2,Static,2,1.28085442616339,1,4,1
Absent,16,3,Static,2,0.970836212600261,1,4,1
Absent,8,4,Static,2,0.600813299874062,1,4,1
Present,12,2,Static,1,0.590777598524255,1,4,1
Absent,16,4,Static,2,0.59079771006418,1,4,1
Present,12,2,Static,1,0.72081387394519,1,4,1
Absent,12,2,Static,2,0.570812736161315,1,4,1
Present,8,4,Static,1,0.720769512740844,1,4,1
Present,8,1,Static,1,0.680800574406021,1,4,1
Absent,12,3,Static,2,0.600781522124635,1,4,1
Absent,12,4,Static,2,0.610781142862834,1,4,1
Absent,12,1,Static,2,0.650797143678574,1,4,1
